APV                6              11               0
               0            67.2           48.93
               1          -13.38           38.81
               2          -17.61           19.44
               3           11.53           16.48
               4          -159.1           9.584
               5          -76.27           8.598
               6           -30.7           9.164
               7           46.48           8.931
               8           -82.5           8.749
               9          -45.99           8.236
              10           20.58           8.129
              11           54.94           10.12
              12          -58.87           9.564
              13          -27.43           7.546
              14           51.04            8.13
              15           47.72           11.29
              16          -45.37           10.44
              17          -35.59           8.087
              18           4.273           12.33
              19           38.57           8.786
              20           -62.3           8.646
              21          -22.76           8.047
              22            -2.1           8.603
              23           62.21           8.534
              24          -45.67           8.948
              25          -19.25           8.216
              26              19           8.196
              27           70.05           9.647
              28          -43.92            8.47
              29          -14.01           8.482
              30           39.69            8.22
              31           69.53           11.71
              32          -33.91           10.14
              33          -27.38           8.737
              34           1.831           8.041
              35           59.76           9.082
              36          -66.26            9.31
              37          -17.48           8.374
              38           7.534           7.997
              39           53.31           9.438
              40          -70.33           9.052
              41          -4.476           8.361
              42           30.11           8.676
              43            64.2           10.16
              44          -63.88           8.577
              45          -3.813           8.003
              46           49.24           8.107
              47           74.98           12.86
              48          -55.74           10.83
              49          -15.02           7.939
              50          -5.481           10.27
              51           28.77           8.335
              52          -64.64           8.876
              53          -29.83           7.932
              54           6.727           8.344
              55           61.39           8.947
              56           -50.3           8.443
              57           -32.1           7.987
              58           33.61           7.935
              59           53.39           9.533
              60          -37.62           8.373
              61          -6.524           8.653
              62           26.01            8.04
              63           62.23            12.5
              64          -54.84           9.402
              65          -23.88           9.778
              66           13.17           9.295
              67           46.46           8.385
              68          -72.55            9.61
              69          -28.27           8.901
              70           17.49           8.805
              71           59.11           9.681
              72          -57.34           8.548
              73          -9.587           11.11
              74           41.52           8.276
              75           52.12           9.929
              76          -50.78           10.69
              77          -4.611            7.32
              78           10.22           7.778
              79           76.91           13.36
              80          -68.84           9.151
              81          -47.07           8.193
              82          -1.445           9.436
              83           49.09           8.394
              84          -75.01           9.199
              85          -7.698           8.009
              86           14.79           8.312
              87           47.14           9.308
              88          -45.22           8.486
              89           -20.8           8.298
              90           14.01           7.801
              91           43.25           9.923
              92          -25.25           9.245
              93          -11.15            9.45
              94           48.21           8.276
              95           94.15           13.21
              96          -54.37           9.144
              97          -37.44           8.802
              98          -3.307           8.744
              99           41.52            9.13
             100           -67.9            9.76
             101          -21.64           8.727
             102           20.38           8.836
             103            46.3           9.715
             104          -43.11           8.623
             105           4.692           8.205
             106           9.122           7.932
             107           57.71           10.75
             108          -23.38           8.585
             109           -7.91           7.803
             110           42.58           8.658
             111           78.36           13.45
             112          -49.21            8.61
             113          -16.34           7.844
             114           9.501           9.067
             115           53.73           8.495
             116          -63.95           8.896
             117             -40           7.944
             118            11.8            7.88
             119           55.74           9.553
             120          -46.11           8.317
             121          -16.01           8.235
             122           34.32           7.701
             123           54.64           10.62
             124          -19.95           12.74
             125          -7.685           10.25
             126           45.29           8.528
             127           103.3           15.53
APV                6              11               1
               0           43.95           43.59
               1          -23.59           34.09
               2           2.461           18.36
               3          -20.62           16.22
               4          -139.4           9.411
               5          -75.15           8.484
               6           10.02           10.87
               7           19.44           9.524
               8          -64.44           8.394
               9          -20.13           8.231
              10           31.85           19.16
              11           70.85           8.998
              12          -44.17           9.367
              13          -7.034           7.494
              14           9.709           9.308
              15           68.17           20.14
              16          -65.55            9.33
              17          -34.44           7.854
              18          -1.448           11.22
              19           30.42             8.5
              20          -63.66           8.789
              21          -29.64           7.537
              22           11.21           8.042
              23           45.97            8.26
              24          -65.94           8.313
              25            -5.7            7.33
              26           27.56           8.124
              27           47.06           19.93
              28          -47.76           7.602
              29          -22.13           7.849
              30           43.64           7.815
              31            64.1           9.598
              32          -55.89           18.25
              33           -53.1           8.381
              34           19.42           18.07
              35           29.99           9.132
              36          -61.15           8.699
              37          -24.09           8.363
              38           7.715           9.214
              39           55.35           9.994
              40          -49.86           8.893
              41           -1.39           8.915
              42           11.17           18.11
              43           68.26           9.274
              44             -35           8.405
              45           24.61           8.694
              46           35.34           9.217
              47           59.09           18.84
              48          -73.69           9.584
              49          -25.27           7.557
              50          -5.638           9.672
              51           27.84           20.09
              52          -47.96           20.46
              53          -24.19            7.39
              54           16.84           7.919
              55           38.54           8.316
              56          -28.81           8.292
              57          -30.91           7.571
              58           25.67           8.392
              59           50.76           9.486
              60          -34.22           7.351
              61          -17.31           7.871
              62           42.83            7.92
              63           50.61           10.74
              64          -79.19           9.553
              65          -51.26           10.09
              66           16.59           11.95
              67           34.38           10.93
              68          -34.53           8.857
              69           3.548           8.031
              70           35.05           10.54
              71            52.3           9.241
              72          -44.87             9.7
              73         -0.5977           8.827
              74           31.67           10.81
